niche,keyword,mode,search_volume,kd_percent,cpc_usd,competition,competition_level,intent,monthly_trend_percent,yearly_trend_percent,low_bid_usd,high_bid_usd,backlinks,referring_domains,categories,rankability_score,quick_win
Mold Remediation Services,mold remediation miami,broad-in-geo,1900,14,27.61,0.47,MEDIUM,informational,30,-19,13.00,56.16,18567.1,75.8,"10004,10282,11149",78,TRUE
Mold Remediation Services,mold removal miami beach,city-modified,140,11,4.02,0.20,LOW,commercial,55,55,13.24,129.82,238156.6,30,"10004,10282,11149",78,TRUE
Septic Tank Cleaning/Pumping,septic tank cleaning miami,broad-in-geo,480,6,30.91,0.61,MEDIUM,commercial,-18,23,11.52,35.94,38.8,15.8,"10004,10282,10295,10306,11388,13462,13464",82,TRUE
Cooking Hood Cleaning (NFPA 96),commercial hood cleaning,broad-in-geo,2400,9,8.52,0.49,MEDIUM,transactional,-34,-21,3.39,17.36,237.5,52.7,"10009,10412,11567,12807",85,TRUE
Cooking Hood Cleaning (NFPA 96),hood cleaning service,broad-in-geo,3600,13,11.11,0.63,MEDIUM,navigational,-19,-19,3.06,16.98,275.6,53.9,"10009,10412,11567,12807",85,TRUE
Cooking Hood Cleaning (NFPA 96),restaurant hood cleaning,broad-in-geo,2900,2,12.91,0.43,MEDIUM,commercial,-57,,3.30,18.99,206.6,34.1,"10009,10412,11567,12807",85,TRUE
Smart Home Installation,smart home installation,broad-in-geo,1900,24,9.24,0.16,LOW,navigational,90,46,3.08,14.53,3479.6,249.4,"10004,10306,11386,13464",76,TRUE
Smart Home Installation,home automation installation,broad-in-geo,590,26,8.46,0.02,LOW,commercial,156,156,4.01,13.49,5364.6,352.3,"10004,10306,11386,13464",76,TRUE
Yacht & Jet Detailing,yacht detailing miami,city-modified,20,38,8.35,0.31,LOW,navigational,100,-50,1.47,3.44,,,"10001,10027,10210",58,FALSE
Heavy Equipment Rental,heavy equipment rental miami,city-modified,40,,4.95,1.00,HIGH,commercial,-50,-33,1.11,7.90,36,13,"10006,10368",45,FALSE
Fire Extinguisher Services,fire extinguisher inspection,broad-in-geo,18100,25,12.60,0.17,LOW,transactional,,83,3.50,14.04,43.6,21.2,"10009,10411,11563",88,TRUE
Fire Extinguisher Services,fire extinguisher service,broad-in-geo,18100,17,10.31,0.35,MEDIUM,commercial,,-33,2.76,11.68,864,6.5,"10009,10411,11563",88,TRUE
Fire Extinguisher Services,fire extinguisher maintenance,broad-in-geo,3600,,12.57,0.03,LOW,transactional,50,820,2.95,12.00,17.6,10.6,"10009,10411,11563",88,TRUE
Pool Automation & Smart Pool Tech,pool automation,broad-in-geo,720,9,1.89,1.00,HIGH,commercial,,-18,0.37,3.66,55.9,18,"10009,10406,11538",72,TRUE
Pool Automation & Smart Pool Tech,pool automation system,broad-in-geo,1300,14,1.32,0.43,MEDIUM,commercial,50,650,0.41,3.69,66.8,18.1,"10009,10406,11538",72,TRUE
Pool Automation & Smart Pool Tech,smart pool,broad-in-geo,1000,,2.12,0.91,HIGH,navigational,-47,222,0.84,3.18,6.2,5.3,"10009,10406,11538",72,TRUE
