keyword,search_volume,cpc,competition,keyword_difficulty,intent,local_pack_present,trend
restaurant hood cleaning,2900,12.91,MEDIUM,2,commercial,true,stable
commercial hood cleaning,2400,8.52,MEDIUM,9,transactional,true,stable
hood cleaning service,3600,11.11,MEDIUM,13,navigational,true,stable
kitchen exhaust cleaning,1600,6.82,LOW,17,transactional,true,stable
exhaust hood cleaning,2900,7.57,MEDIUM,,transactional,true,stable
commercial kitchen hood cleaning,1300,7.06,MEDIUM,,transactional,true,stable
hood cleaning,4400,7.14,MEDIUM,13,navigational,true,stable
kitchen hood cleaning service,1300,10.79,MEDIUM,43,commercial,true,stable
vent hood cleaning,1300,7.98,MEDIUM,,transactional,true,stable
commercial vent hood cleaning,320,15.31,MEDIUM,,transactional,true,stable
restaurant hood cleaning services,1000,9.28,LOW,12,navigational,true,stable
restaurant hood cleaning service,1000,9.28,LOW,16,navigational,true,stable
hood cleaning certification,,,MEDIUM,,commercial,false,stable
NFPA 96 hood cleaning,,,MEDIUM,,commercial,false,stable
hood cleaning near me,2400,6.31,MEDIUM,12,navigational,true,stable
commercial kitchen steam cleaning service,30,10.35,MEDIUM,1,navigational,true,stable
industrial hood cleaning,70,3.69,MEDIUM,11,transactional,true,stable
kitchen vent cleaning,210,15.96,MEDIUM,6,commercial,true,stable
residential hood cleaning service,90,4.5,HIGH,9,navigational,true,stable
grease hood cleaning company,20,2.55,HIGH,,transactional,false,stable
hoodz kitchen exhaust cleaning,110,9.3,MEDIUM,12,transactional,true,stable
how to clean kitchen exhaust fan grease,320,1.23,LOW,3,transactional,false,stable
