keyword,mode,volume,kd_percent,cpc,intent,serp_features
mold remediation miami,broad-in-geo,1900,14,27.61,informational,
mold removal miami beach,city-modified,140,11,4.02,commercial,
septic tank cleaning miami,broad-in-geo,480,6,30.91,commercial,
commercial hood cleaning,broad-in-geo,2400,9,8.52,transactional,
hood cleaning miami,city-modified,90,,1.84,commercial,
hood cleaning service,broad-in-geo,3600,13,11.11,navigational,
kitchen exhaust cleaning,broad-in-geo,1600,17,6.82,transactional,
restaurant hood cleaning,broad-in-geo,2900,2,12.91,commercial,
yacht detailing miami,city-modified,20,38,8.35,navigational,
home automation installation,broad-in-geo,590,26,8.46,commercial,
home automation miami,city-modified,90,14,,commercial,
smart home installation,broad-in-geo,1900,24,9.24,navigational,
smart home miami,city-modified,20,6,,transactional,
smart home services,broad-in-geo,720,70,12.2,navigational,
